FECHA,Región,Casos nuevos,Casos totales,Promedio de lat,lng
2020-03-21 00:00:00,Arica y Parinacota,1,2,"-18,5940485000","-69,4784541000"
2020-03-21 00:00:00,Atacama,0,1,"-23,8634189000","-69,1328491000"
2020-03-21 00:00:00,Aysén,0,1,"-46,3783450000","-72,3007623000"
2020-03-21 00:00:00,Biobío,5,35,"-37,4464428000","-72,1416132000"
2020-03-21 00:00:00,Coquimbo,2,5,"-29,9590009000","-71,3389183000"
2020-03-21 00:00:00,Los Lagos,3,23,"-41,9197779000","-72,1416132000"
2020-03-21 00:00:00,Los Ríos,0,1,"-40,2310217000","-72,3311130000"
2020-03-21 00:00:00,Magallanes,1,4,"-52,3680467000","-70,9862846000"
2020-03-21 00:00:00,Maule,10,25,"-35,5183364000","-71,6884912000"
2020-03-21 00:00:00,Metropolitana,50,409,"-33,4375545000","-70,6504896000"
2020-03-21 00:00:00,Ñuble,6,64,"-36,7225743000","-71,7622481000"
2020-03-21 00:00:00,O’Higgins,1,8,"-48,4674467000","-72,5591917000"
2020-03-21 00:00:00,Tarapacá,0,0,"-20,2028799000","-69,2877535000"
2020-03-21 00:00:00,Valparaíso,3,16,"-33,0472380000","-71,6126885000"
2020-03-22 00:00:00,Antofagasta,0,11,"-23,6509279000","-70,3975022000"
2020-03-22 00:00:00,Araucanía,13,40,"-38,9489210000","-72,3311130000"
2020-03-22 00:00:00,Arica y Parinacota,0,2,"-18,5940485000","-69,4784541000"
2020-03-22 00:00:00,Atacama,0,1,"-23,8634189000","-69,1328491000"
2020-03-22 00:00:00,Aysén,0,1,"-46,3783450000","-72,3007623000"
2020-03-22 00:00:00,Biobío,11,46,"-37,4464428000","-72,1416132000"
2020-03-22 00:00:00,Coquimbo,1,6,"-29,9590009000","-71,3389183000"
2020-03-22 00:00:00,Los Lagos,10,33,"-41,9197779000","-72,1416132000"
2020-03-22 00:00:00,Los Ríos,3,4,"-40,2310217000","-72,3311130000"
2020-03-22 00:00:00,Magallanes,2,6,"-52,3680467000","-70,9862846000"
2020-03-22 00:00:00,Maule,3,28,"-35,5183364000","-71,6884912000"
2020-03-22 00:00:00,Metropolitana,50,459,"-33,4375545000","-70,6504896000"
2020-03-22 00:00:00,Ñuble,17,81,"-36,7225743000","-71,7622481000"
2020-03-22 00:00:00,O’Higgins,0,8,"-48,4674467000","-72,5591917000"
2020-03-22 00:00:00,Tarapacá,1,1,"-20,2028799000","-69,2877535000"
2020-03-22 00:00:00,Valparaíso,3,19,"-33,0472380000","-71,6126885000"
2020-03-23 00:00:00,Antofagasta,2,13,"-23,6509279000","-70,3975022000"
2020-03-23 00:00:00,Araucanía,19,59,"-38,9489210000","-72,3311130000"
2020-03-23 00:00:00,Arica y Parinacota,0,2,"-18,5940485000","-69,4784541000"
2020-03-23 00:00:00,Atacama,0,1,"-23,8634189000","-69,1328491000"
2020-03-23 00:00:00,Aysén,0,1,"-46,3783450000","-72,3007623000"
2020-03-23 00:00:00,Biobío,27,73,"-37,4464428000","-72,1416132000"
2020-03-23 00:00:00,Coquimbo,5,11,"-29,9590009000","-71,3389183000"
2020-03-23 00:00:00,Los Lagos,3,36,"-41,9197779000","-72,1416132000"
2020-03-23 00:00:00,Los Ríos,2,6,"-40,2310217000","-72,3311130000"
2020-03-23 00:00:00,Magallanes,2,8,"-52,3680467000","-70,9862846000"
2020-03-23 00:00:00,Maule,1,29,"-35,5183364000","-71,6884912000"
2020-03-23 00:00:00,Metropolitana,81,540,"-33,4375545000","-70,6504896000"
2020-03-23 00:00:00,Ñuble,24,105,"-36,7225743000","-71,7622481000"
2020-03-23 00:00:00,O’Higgins,1,9,"-48,4674467000","-72,5591917000"
2020-03-23 00:00:00,Tarapacá,3,4,"-20,2028799000","-69,2877535000"
2020-03-23 00:00:00,Valparaíso,6,25,"-33,0472380000","-71,6126885000"
2020-03-24 00:00:00,Antofagasta,6,19,"-23,6509279000","-70,3975022000"
2020-03-24 00:00:00,Araucanía,15,74,"-38,9489210000","-72,3311130000"
2020-03-24 00:00:00,Arica y Parinacota,0,2,"-18,5940485000","-69,4784541000"
2020-03-24 00:00:00,Atacama,0,1,"-23,8634189000","-69,1328491000"
2020-03-24 00:00:00,Aysén,0,1,"-46,3783450000","-72,3007623000"
2020-03-24 00:00:00,Biobío,22,95,"-37,4464428000","-72,1416132000"
2020-03-24 00:00:00,Coquimbo,1,12,"-29,9590009000","-71,3389183000"
2020-03-24 00:00:00,Los Lagos,8,44,"-41,9197779000","-72,1416132000"
2020-03-24 00:00:00,Los Ríos,5,11,"-40,2310217000","-72,3311130000"
2020-03-24 00:00:00,Magallanes,5,13,"-52,3680467000","-70,9862846000"
2020-03-24 00:00:00,Maule,1,30,"-35,5183364000","-71,6884912000"
2020-03-24 00:00:00,Metropolitana,142,682,"-33,4375545000","-70,6504896000"
2020-03-24 00:00:00,Ñuble,6,111,"-36,7225743000","-71,7622481000"
2020-03-24 00:00:00,O’Higgins,2,11,"-48,4674467000","-72,5591917000"
2020-03-24 00:00:00,Tarapacá,0,4,"-20,2028799000","-69,2877535000"
2020-03-24 00:00:00,Valparaíso,7,32,"-33,0472380000","-71,6126885000"
