COMUNA;CASOS;POBLACION;TASA;Fecha
Los Andes;0;68093;2.9;30/03/2020
Los Ángeles;11;218515;5;30/03/2020
Los Lagos;0;20518;0;30/03/2020
Los Muermos;0;17817;5.6;30/03/2020
Los Sauces;0;7517;0;30/03/2020
Los Vilos;0;23374;4.3;30/03/2020
Lota;0;45750;0;30/03/2020
Lumaco;0;10050;0;30/03/2020
Machalí;0;59913;5;30/03/2020
Macul;10;134635;7.4;30/03/2020
Máfil;0;7389;13.5;30/03/2020
Maipú;43;578605;7.4;30/03/2020
Malloa;0;14163;0;30/03/2020
Marchihue;0;7632;0;30/03/2020
María Elena;0;6814;0;30/03/2020
María Pinto;0;14926;0;30/03/2020
Mariquina;0;23250;0;30/03/2020
Maule;0;60000;3.3;30/03/2020
Maullín;0;14894;0;30/03/2020
Mejillones;0;14776;0;30/03/2020
Melipeuco;0;6265;0;30/03/2020
Melipilla;6;141612;4.2;30/03/2020
Molina;0;49800;4;30/03/2020
Monte Patria;0;32527;0;30/03/2020
Mostazal;0;27462;0;30/03/2020
Mulchén;0;31041;6.4;30/03/2020
Nacimiento;0;27944;3.6;30/03/2020
Nancagua;0;19141;0;30/03/2020
Natales;0;23782;4.2;30/03/2020
Navidad;0;6904;0;30/03/2020
Negrete;0;10429;0;30/03/2020
Ninhue;0;5414;0;30/03/2020
Nogales;0;23490;0;30/03/2020
Nueva Imperial;0;33777;0;30/03/2020
Ñiquén;0;11567;0;30/03/2020
Ñuñoa;67;250192;26.8;30/03/2020
O'Higgins;0;661;0;30/03/2020
Olivar;0;14624;0;30/03/2020
Ollagüe;0;287;0;30/03/2020
Olmué;0;19266;0;30/03/2020
Osorno;66;173410;38.1;30/03/2020
Ovalle;4;121269;3.3;30/03/2020
Padre Hurtado;10;74188;13.5;30/03/2020
Padre Las Casas;9;82110;11;30/03/2020
Paiguano;0;4675;0;30/03/2020
Paillaco;0;20798;0;30/03/2020
Paine;0;82766;3.6;30/03/2020
Palena;0;1827;0;30/03/2020
Palmilla;0;13299;0;30/03/2020
